                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.52776,                0.38587,                0.85107,                0.85039,                0.86771,                0.84842,                0.68548,                0.54939,                 1.4094,                0.85441,             0.00085091,             0.00085091,             0.00085091
                    131,                0.50574,                0.36579,                 0.8605,                0.86724,                0.85746,                0.87177,                0.74078,                0.52553,                 1.1642,                 0.8288,             0.00084781,             0.00084781,             0.00084781
                    132,                  0.506,                0.41279,                0.87387,                0.86125,                0.82973,                0.83399,                0.65553,                0.56127,                 1.4112,                 0.8542,             0.00084472,             0.00084472,             0.00084472
                    133,                0.51984,                0.38723,                0.87323,                0.86947,                0.85487,                0.82804,                0.68839,                0.56289,                 1.3639,                0.85029,             0.00084162,             0.00084162,             0.00084162
                    134,                0.55453,                0.39977,                0.88335,                0.91709,                  0.875,                0.86773,                0.70052,                0.57375,                 1.1294,                0.83154,             0.00083853,             0.00083853,             0.00083853
                    135,                0.49521,                0.36529,                0.87963,                 0.9163,                0.86509,                0.83833,                0.68056,                0.60172,                  1.369,                0.84496,             0.00083544,             0.00083544,             0.00083544
                    136,                 0.5534,                0.41512,                 0.8536,                0.89219,                0.87415,                0.82946,                 0.6657,                0.67977,                 1.5029,                0.86899,             0.00083234,             0.00083234,             0.00083234
                    137,                0.49108,                  0.438,                0.88681,                0.92575,                0.86947,                0.83801,                0.65408,                0.59278,                 1.3762,                 0.8482,             0.00082925,             0.00082925,             0.00082925
                    138,                0.54203,                0.40723,                0.87587,                 0.8784,                0.87274,                0.83696,                0.67639,                0.56999,                 1.3644,                0.83686,             0.00082616,             0.00082616,             0.00082616
                    139,                0.49755,                0.35747,                0.86019,                0.87621,                0.86892,                0.84296,                0.69284,                0.56811,                 1.4032,                0.84195,             0.00082306,             0.00082306,             0.00082306
                    140,                0.49067,                0.36568,                0.86314,                 0.8868,                0.87358,                0.87255,                0.67191,                0.58466,                 1.3373,                0.83797,             0.00081997,             0.00081997,             0.00081997
                    141,                 0.5364,                0.37378,                0.87036,                0.91345,                0.85576,                0.87277,                0.69642,                0.55759,                 1.3617,                0.84725,             0.00081688,             0.00081688,             0.00081688
                    142,                0.49513,                  0.359,                0.85568,                0.94335,                0.87477,                 0.8729,                 0.7106,                0.57996,                 1.2916,                0.85549,             0.00081378,             0.00081378,             0.00081378
                    143,                0.51908,                0.39166,                0.89577,                 0.8987,                  0.875,                0.85568,                0.67935,                0.61402,                 1.2998,                0.86907,             0.00081069,             0.00081069,             0.00081069
                    144,                0.52993,                 0.3961,                  0.887,                0.91771,                0.86195,                0.86901,                0.73562,                0.53002,                 1.0518,                0.85944,             0.00080759,             0.00080759,             0.00080759
                    145,                0.49376,                0.38001,                0.85386,                0.97089,                0.85229,                0.87637,                0.72844,                0.54978,                 1.1049,                0.86044,              0.0008045,              0.0008045,              0.0008045
                    146,                0.52036,                0.38009,                 0.8487,                0.89536,                  0.875,                0.86919,                0.72997,                0.56512,                 1.1606,                0.87894,             0.00080141,             0.00080141,             0.00080141
                    147,                0.50546,                0.35894,                0.86738,                0.93926,                0.82259,                0.86804,                0.69374,                0.61846,                 1.2217,                0.89796,             0.00079831,             0.00079831,             0.00079831
                    148,                0.53796,                0.38302,                0.87777,                0.93322,                  0.875,                 0.8684,                0.72582,                0.57192,                 1.2075,                0.86935,             0.00079522,             0.00079522,             0.00079522
                    149,                0.53653,                0.39345,                0.87945,                0.90177,                0.87487,                0.86472,                 0.7116,                 0.5611,                  1.224,                0.85228,             0.00079213,             0.00079213,             0.00079213
                    150,                 0.5009,                0.35031,                0.85195,                0.88569,                0.86934,                0.82285,                0.65942,                0.60069,                 1.1878,                0.85756,             0.00078903,             0.00078903,             0.00078903
                    151,                0.46642,                0.34755,                0.84233,                0.86085,                 0.8682,                0.82224,                0.65817,                 0.5575,                 1.1661,                0.85544,             0.00078594,             0.00078594,             0.00078594
                    152,                0.46939,                0.36118,                0.83857,                0.87979,                0.87202,                0.82285,                0.69441,                0.57333,                 1.1868,                0.86252,             0.00078284,             0.00078284,             0.00078284
                    153,                 0.5038,                0.35625,                0.85894,                0.88607,                0.87267,                0.83662,                0.70171,                0.57731,                 1.2009,                0.86323,             0.00077975,             0.00077975,             0.00077975
                    154,                0.47934,                0.35042,                0.85944,                0.92118,                0.83203,                0.87216,                0.70674,                0.58321,                 1.0567,                0.84035,             0.00077666,             0.00077666,             0.00077666
                    155,                0.44289,                0.33138,                 0.8402,                0.91285,                0.86592,                0.87182,                0.70929,                0.56336,                0.98131,                0.82992,             0.00077356,             0.00077356,             0.00077356
                    156,                0.49484,                0.35343,                0.85087,                 0.9369,                0.86778,                0.87209,                0.73245,                0.58133,                 1.0657,                0.83584,             0.00077047,             0.00077047,             0.00077047
